City_ID,City,Country,Date,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed
174,Geilo,NO,2022-04-20 20:19:55,60.5333,8.2076,84,272.3,7,2.19
175,Kahului,US,2022-04-20 20:18:50,20.8947,-156.47,61,301.16,40,7.72
176,Ajdabiya,LY,2022-04-20 20:19:56,30.7554,20.2263,39,292.36,5,2.83
177,Saint-Louis,SN,2022-04-20 20:19:56,16.3333,-15.0,13,308.81,83,5.35
178,Dingle,PH,2022-04-20 20:19:57,10.9995,122.6711,90,297.86,16,2.91
179,Porto Walter,BR,2022-04-20 20:19:57,-8.2686,-72.7439,92,299.5,95,0.83
180,Raudeberg,NO,2022-04-20 20:20:58,61.9875,5.1352,82,280.52,21,3.73
181,Yeppoon,AU,2022-04-20 20:20:58,-23.1333,150.7333,86,295.03,84,4.41
182,Fomento,CU,2022-04-20 20:20:59,22.1039,-79.7217,57,302.01,91,6.73
183,Mecca,SA,2022-04-20 20:20:59,21.4267,39.8261,46,302.1,16,1.86
184,Ilulissat,GL,2022-04-20 20:20:42,69.2167,-51.1,45,264.16,2,3.6
185,Tipuani,BO,2022-04-20 20:21:00,-15.5648,-68.0185,43,303.92,100,1.36
186,Zlobin,HR,2022-04-20 20:21:00,45.2924,14.6541,66,277.76,0,0.0
187,Saskylakh,RU,2022-04-20 20:21:01,71.9167,114.0833,100,254.23,100,1.6
188,Clonakilty,IE,2022-04-20 20:21:01,51.6231,-8.8706,82,282.64,100,3.94
189,Chuy,UY,2022-04-20 20:21:02,-33.6971,-53.4616,61,295.2,0,5.26
190,Yamada,JP,2022-04-20 20:21:03,39.4667,141.95,93,281.38,3,2.98
191,Kruisfontein,ZA,2022-04-20 20:21:03,-34.0033,24.7314,38,294.35,88,1.45
192,Twentynine Palms,US,2022-04-20 20:21:04,34.1356,-116.0542,19,300.23,0,1.79
193,Kavieng,PG,2022-04-20 20:20:24,-2.5744,150.7967,75,301.31,81,6.47
194,Kirovskiy,RU,2022-04-20 20:21:04,45.0917,133.5136,54,282.43,9,3.07
195,Alta Floresta,BR,2022-04-20 20:21:05,-9.8756,-56.0861,78,301.05,40,1.54
196,Binon-An,PH,2022-04-20 20:21:05,11.3947,123.1426,84,299.75,41,3.6
197,Khani,GE,2022-04-20 20:21:06,41.9563,42.9566,99,277.91,100,0.85
198,Roccastrada,IT,2022-04-20 20:21:06,43.0099,11.1665,91,285.88,100,0.99
199,Djenne,ML,2022-04-20 20:21:07,13.9061,-4.5533,6,306.96,92,3.71
200,Henties Bay,NA,2022-04-20 20:21:07,-22.116,14.2845,61,294.63,39,3.52
201,Mahebourg,MU,2022-04-20 20:21:08,-20.4081,57.7,94,298.29,40,2.57
202,Tasiilaq,GL,2022-04-20 20:21:08,65.6145,-37.6368,92,275.24,91,0.65
203,Kinsale,IE,2022-04-20 20:21:09,51.7075,-8.5306,87,282.72,75,3.6
204,Constitucion,CL,2022-04-20 20:21:09,-35.3333,-72.4167,57,288.81,5,6.67
205,Chico,US,2022-04-20 20:17:57,39.7285,-121.8375,73,291.3,100,7.72
206,Havre-Saint-Pierre,CA,2022-04-20 20:21:10,50.2334,-63.5986,81,276.35,75,6.69
207,Manakara,MG,2022-04-20 20:21:10,-22.1333,48.0167,89,296.06,26,2.53
208,Flinders,AU,2022-04-20 20:21:11,-34.5833,150.8552,82,287.07,0,0.89
209,Micheweni,TZ,2022-04-20 20:21:11,-4.9667,39.8333,84,298.65,100,4.15
210,Goderich,CA,2022-04-20 20:21:12,43.7501,-81.7165,57,280.33,100,3.09
211,Westport,US,2022-04-20 20:19:04,41.1415,-73.3579,32,288.64,0,4.63
212,Lata,PT,2022-04-20 20:21:13,40.1629,-8.3327,77,285.41,3,3.54
213,Menongue,AO,2022-04-20 20:21:13,-14.6585,17.691,71,289.32,97,1.47
